"tract","Name","Household_Income_rP_gM_pall"
6037139802,"Tarzana, Los Angeles, CA",79158
6037265100,"Westwood, Los Angeles, CA",78734
6037262302,"Brentwood, Los Angeles, CA",75080
6037139801,"Tarzana, Los Angeles, CA",74256
6037261200,"Beverly Glen, Los Angeles, CA",73960
6037262704,"Pacific Palisades, Los Angeles, CA",72924
6037265510,"Westwood, Los Angeles, CA",71968
6037460800,"North Arroyo, Pasadena, CA",71129
6037265201,"Westwood, Los Angeles, CA",70341
6037262301,"Los Angeles, CA",69978
6037620301,"Manhattan Beach, CA",69671
6037700700,"The Flats, Beverly Hills, CA",68383
6037276601,"Playa del Rey, Los Angeles, CA",68046
6037701201,"North of Montana, Santa Monica, CA",67161
6037269500,"Beverlywood, Los Angeles, CA",66297
6037700600,"Beverly Hills, CA",66274
6037464100,"San Marino, CA",65979
6037262400,"Brentwood, Los Angeles, CA",65273
6037265420,"Westwood, Los Angeles, CA",64847
6037464200,"San Marino, CA",64505
6037265202,"Westwood, Los Angeles, CA",64117
6037300902,"Glenoaks Canyon, Glendale, CA",63666
6037141500,"Encino, Los Angeles, CA",63281
6037262706,"Pacific Palisades, Los Angeles, CA",62901
6037189701,"Central LA, Los Angeles, CA",62448
6037214100,"Central LA, Los Angeles, CA",62367
6037620305,"Manhattan Beach, CA",62130
6037701304,"North of Montana, Santa Monica, CA",62113
6037139600,"Encino, Los Angeles, CA",61999
6037300901,"Chevy Chase, Glendale, CA",61527
6037139702,"Encino, Los Angeles, CA",61508
6037261102,"Beverly Hills, CA",61490
6037262601,"Pacific Palisades, Los Angeles, CA",61474
6037139703,"Encino, Los Angeles, CA",61221
6037143602,"Studio City, Los Angeles, CA",61028
6037267902,"Rancho Park, Los Angeles, CA",61002
6037463800,"Northeast Los Angeles, Pasadena, CA",60552
6037264000,"Brentwood, Los Angeles, CA",60512
6037701000,"Beverly Hills, CA",60401
6037269000,"Cheviot Hills, Los Angeles, CA",60306
6037701202,"Wilshire Montana, Santa Monica, CA",60293
6037463900,"Northeast Los Angeles, Pasadena, CA",59968
6037211000,"Central LA, Los Angeles, CA",59808
6037143902,"Studio City, Los Angeles, CA",59680
6037262303,"Brentwood, Los Angeles, CA",59569
6037464000,"Pasadena, CA",59432
6037262802,"Pacific Palisades, Santa Monica, CA",59367
6037262100,"Bel Air, Los Angeles, CA",59053
6037188202,"Central LA, Los Angeles, CA",58938
6037141600,"Sherman Oaks, Los Angeles, CA",58602
6037265602,"Westwood, Los Angeles, CA",58530
6037262604,"Pacific Palisades, Los Angeles, CA",58494
6037480702,"South Pasadena, CA",58146
6037271600,"Mar Vista, Los Angeles, CA",57806
6037269300,"Cheviot Hills, Los Angeles, CA",57724
6037124000,"Valley Village, Los Angeles, CA",57450
6037269100,"Pico - Robertson, Los Angeles, CA",57419
6037189400,"Central LA, Los Angeles, CA",56947
6037265601,"Westwood, Los Angeles, CA",56898
6037143500,"Studio City, Los Angeles, CA",56847
6037701302,"Wilshire Montana, Santa Monica, CA",56746
6037139701,"Encino, Los Angeles, CA",56422
6037262200,"Bel Air, Los Angeles, CA",56093
6037276400,"Westchester, Los Angeles, CA",56045
6037265700,"Westwood, Los Angeles, CA",55881
6037480201,"San Gabriel, CA",55762
6037194101,"Central LA, Los Angeles, CA",55762
6037700901,"Central LA, Beverly Hills, CA",55714
6037141400,"Encino, Los Angeles, CA",55585
6037530005,"South Montebello, Montebello, CA",55535
6037482001,"Monterey Park, CA",55301
6037463700,"South Arroyo, Pasadena, CA",55222
6037620400,"Manhattan Beach, CA",55000
6037480500,"South Pasadena, CA",54996
6037141202,"Sherman Oaks, Los Angeles, CA",54924
6037620001,"El Segundo, CA",54903
6037278102,"Playa del Rey, Los Angeles, CA",54836
6037701601,"Northeast, Santa Monica, CA",54736
6037194300,"Central LA, Los Angeles, CA",54701
6037216402,"Central LA, Los Angeles, CA",54521
6037264301,"Brentwood, Los Angeles, CA",54397
6037262501,"Pacific Palisades, Los Angeles, CA",54362
6037700902,"Beverly Hills, CA",53674
6037463102,"Pasadena, CA",53191
6037267800,"West Los Angeles, Los Angeles, CA",53111
6037602302,"HollyGlen, Hawthorne, CA",52934
6037461700,"North Arroyo, Pasadena, CA",52698
6037267100,"West Los Angeles, Los Angeles, CA",52674
6037267200,"West Los Angeles, Los Angeles, CA",52656
6037701100,"West Los Angeles, Los Angeles, CA",52505
6037276000,"Westchester, Los Angeles, CA",52426
6037143901,"Studio City, Los Angeles, CA",52399
6037700801,"Beverly Hills, CA",52392
6037480002,"San Gabriel, CA",52316
6037264103,"Brentwood, Los Angeles, CA",52299
6037194500,"Central LA, Los Angeles, CA",52268
6037124700,"Van Nuys, Los Angeles, CA",52177
6037480703,"South Pasadena, CA",52012
6037271500,"Mar Vista, Los Angeles, CA",51581
6037274202,"Venice, Marina del Rey, CA",51571
6037463300,"Pasadena, CA",51440
6037980024,"Encino, Los Angeles, CA",51401
6037143700,"Studio City, Los Angeles, CA",51323
6037192300,"Central LA, Los Angeles, CA",51219
6037214700,"Beverly Grove, Los Angeles, CA",50992
6037700102,"Central LA, West Hollywood, CA",50897
6037301701,"Pelanconi, Glendale, CA",50831
6037271100,"West Los Angeles, Los Angeles, CA",50752
6037620002,"El Segundo, CA",50686
6037301000,"Woodbury, Glendale, CA",50655
6037481800,"Alhambra, CA",50555
6037482002,"Monterey Park, CA",50539
6037192001,"Central LA, Los Angeles, CA",50537
6037271400,"Mar Vista, Los Angeles, CA",50468
6037189905,"Central LA, Los Angeles, CA",50397
6037264302,"Brentwood, Los Angeles, CA",50234
6037216300,"Central LA, Los Angeles, CA",50226
6037620101,"El Segundo, CA",50196
6037276603,"Playa del Rey, Los Angeles, CA",50120
6037277000,"Westchester, Los Angeles, CA",50092
6037482102,"Monterey Park, CA",50047
6037481714,"Monterey Park, CA",49966
6037480704,"South Pasadena, CA",49698
6037141700,"Sherman Oaks, Beverly Hills, CA",49602
6037189202,"Central LA, Los Angeles, CA",49597
6037301100,"Rossmoyne, Glendale, CA",49105
6037124600,"Sherman Oaks, Los Angeles, CA",49080
6037551402,"Downey, CA",48979
6037311700,"Burbank, CA",48929
6037481500,"Alhambra, CA",48826
6037143300,"Studio City, Los Angeles, CA",48598
6037194102,"Central LA, Los Angeles, CA",48581
6037141102,"Sherman Oaks, Los Angeles, CA",48555
6037702600,"Culver City, CA",48421
6037125502,"North Hollywood, Los Angeles, CA",48399
6037620102,"El Segundo, CA",48353
6037143800,"Studio City, Los Angeles, CA",48331
6037265410,"Los Angeles, CA",48198
6037700802,"Beverly Hills, CA",48111
6037482600,"Garvey, Monterey Park, CA",48058
6037480202,"San Gabriel, CA",47937
6037181300,"Northeast Los Angeles, Los Angeles, CA",47932
6037214902,"Central LA, Los Angeles, CA",47910
6037702300,"Sunset Park, Santa Monica, CA",47788
6037189300,"Central LA, Los Angeles, CA",47764
6037462500,"Pasadena, CA",47632
6037482502,"Garvey, Rosemead, CA",47552
6037192002,"Central LA, Los Angeles, CA",47428
6037480302,"Alhambra, CA",47387
6037141101,"Sherman Oaks, Los Angeles, CA",47306
6037207102,"Central LA, Los Angeles, CA",47031
6037276604,"Playa del Rey, Los Angeles, CA",46961
6037267901,"Century City, Los Angeles, CA",46951
6037261101,"Beverly Hills, CA",46920
6037265520,"Westwood, Los Angeles, CA",46886
6037481606,"Alhambra, CA",46823
6037214901,"Beverly Grove, West Hollywood, CA",46605
6037143400,"Studio City, Los Angeles, CA",46513
6037482202,"Garvey, Monterey Park, CA",46470
6037207501,"Downtown, Los Angeles, CA",46441
6037550602,"Downey, CA",46413
6037128910,"Sherman Oaks, Los Angeles, CA",46377
6037700400,"Central LA, West Hollywood, CA",46372
6037276500,"Westchester, Los Angeles, CA",46372
6037550800,"Downey, CA",46369
6037217001,"Pico - Robertson, Los Angeles, CA",46255
6037141302,"Sherman Oaks, Los Angeles, CA",46164
6037207101,"Central LA, Los Angeles, CA",46063
6037481713,"Monterey Park, CA",46053
6037701501,"Wilshire Montana, Santa Monica, CA",46046
6037701902,"Downtown, Santa Monica, CA",46044
6037181000,"Northeast Los Angeles, Los Angeles, CA",45783
6037311500,"Magnolia Park, Burbank, CA",45293
6037701402,"Wilshire Montana, Santa Monica, CA",45147
6037125200,"North Hollywood, Los Angeles, CA",45108
6037702802,"McLaughlin, Los Angeles, CA",45042
6037311400,"Burbank, CA",44994
6037274100,"Venice, Marina del Rey, CA",44888
6037186100,"Eagle Rock, Los Angeles, CA",44825
6037551000,"Downey, CA",44690
6037214800,"Beverly Grove, Los Angeles, CA",44640
6037481901,"Alhambra, CA",44639
6037603703,"Hawthorne, CA",44593
6037530003,"South Montebello, Montebello, CA",44538
6037271702,"Palms, Los Angeles, CA",44535
6037125600,"North Hollywood, Los Angeles, CA",44493
6037702700,"Park West, Culver City, CA",44482
6037550400,"Downey, CA",44463
6037481712,"Garvey, Monterey Park, CA",44435
6037480304,"Alhambra, CA",44409
6037181600,"Northeast Los Angeles, Los Angeles, CA",44275
6037481300,"Rosemead, CA",44186
6037463200,"Lamanda Park, Pasadena, CA",44160
6037301206,"Glenwood, Glendale, CA",44104
6037481401,"San Gabriel, CA",43942
6037214502,"Central LA, Los Angeles, CA",43886
6037143603,"North Hollywood, Los Angeles, CA",43815
6037272100,"Mar Vista, Los Angeles, CA",43803
6037211701,"Central LA, Los Angeles, CA",43745
6037183104,"Northeast Los Angeles, Los Angeles, CA",43623
6037194402,"Beverly Grove, Los Angeles, CA",43458
6037189800,"Central LA, Los Angeles, CA",43456
6037482800,"South Montebello, Monterey Park, CA",43425
6037301204,"Verdugo Viejo, Glendale, CA",43402
6037701602,"Mid-City, Santa Monica, CA",43299
6037481603,"Alhambra, CA",43263
6037481001,"Alhambra, CA",43242
6037217002,"Central LA, Los Angeles, CA",43223
6037480303,"Alhambra, CA",43206
6037195100,"Silver Lake, Los Angeles, CA",43203
6037480903,"Alhambra, CA",43113
6037188300,"Atwater Village, Los Angeles, CA",43087
6037702201,"Sunset Park, Santa Monica, CA",43057
6037267402,"West Los Angeles, Los Angeles, CA",43025
6037551502,"Downey, CA",42954
6037185204,"Northeast Los Angeles, Los Angeles, CA",42945
6037197700,"Echo Park, Los Angeles, CA",42932
6037181400,"Northeast Los Angeles, Los Angeles, CA",42912
6037189903,"Central LA, Los Angeles, CA",42728
6037481103,"San Gabriel, CA",42713
6037302004,"Citrus Grove, Glendale, CA",42707
6037277100,"Westchester, Los Angeles, CA",42704
6037273902,"Venice, Los Angeles, CA",42701
6037481711,"Monterey Park, CA",42631
6037207103,"Central LA, Los Angeles, CA",42578
6037194200,"Central LA, Los Angeles, CA",42569
6037550700,"Downey, CA",42479
6037188201,"Central LA, Los Angeles, CA",42458
6037553300,"Bellflower, CA",42448
6037533106,"Huntington Park, CA",42212
6037189902,"Central LA, Los Angeles, CA",42150
6037275311,"Los Angeles, CA",42139
6037480102,"San Gabriel, CA",42088
6037301900,"Downtown, Glendale, CA",42025
6037302301,"Moorpark, Glendale, CA",42017
6037480600,"South Pasadena, CA",42002
6037187300,"Silver Lake, Los Angeles, CA",41954
6037214000,"Central LA, Los Angeles, CA",41923
6037482402,"Garvey, Rosemead, CA",41877
6037125100,"Valley Village, Los Angeles, CA",41852
6037186202,"Northeast Los Angeles, Los Angeles, CA",41761
6037700300,"Central LA, West Hollywood, CA",41759
6037273402,"Venice, Los Angeles, CA",41629
6037271300,"Mar Vista, Los Angeles, CA",41627
6037700200,"Central LA, West Hollywood, CA",41559
6037481402,"San Gabriel, CA",41558
6037702501,"Carlson Park, Culver City, CA",41547
6037502801,"Santa Fe Springs, CA",41500
6037141201,"Sherman Oaks, Los Angeles, CA",41487
6037191902,"Central LA, Los Angeles, CA",41482
6037265305,"Westwood, Los Angeles, CA",41456
6037482101,"Monterey Park, CA",41436
6037480400,"Alhambra, CA",41434
6037481604,"Alhambra, CA",41423
6037139502,"Encino, Los Angeles, CA",41353
6037187101,"Atwater Village, Los Angeles, CA",41344
6037212102,"Central LA, Los Angeles, CA",41317
6037502402,"El Rancho, Pico Rivera, CA",41243
6037551800,"Downey, CA",41217
6037530006,"South Montebello, Montebello, CA",41164
6037211704,"Central LA, Los Angeles, CA",41158
6037481605,"Alhambra, CA",41120
6037201302,"Northeast Los Angeles, Los Angeles, CA",41103
6037603500,"Gardena, CA",41064
6037267404,"Sawtelle, Los Angeles, CA",41036
6037302506,"Adams Hill, Glendale, CA",41036
6037550601,"Downey, CA",41013
6037192410,"Central LA, Los Angeles, CA",40965
6037482702,"South Montebello, Monterey Park, CA",40940
6037551201,"Downey, CA",40827
6037141304,"Sherman Oaks, Los Angeles, CA",40770
6037183702,"Northeast Los Angeles, Los Angeles, CA",40756
6037267502,"West Los Angeles, Los Angeles, CA",40745
6037463500,"Pasadena, CA",40678
6037275302,"Marina del Rey, CA",40653
6037302002,"Downtown, Glendale, CA",40651
6037550201,"Norwalk, CA",40608
6037271902,"Mar Vista, Los Angeles, CA",40575
6037128702,"Sherman Oaks, Los Angeles, CA",40559
6037212610,"Central LA, Los Angeles, CA",40549
6037620201,"Manhattan Beach, CA",40493
6037211500,"Central LA, Los Angeles, CA",40442
6037226002,"Central LA, Los Angeles, CA",40399
6037141303,"Sherman Oaks, Los Angeles, CA",40331
6037302103,"Citrus Grove, Glendale, CA",40298
6037214600,"Central LA, Los Angeles, CA",40238
6037702102,"Ocean Park, Santa Monica, CA",40229
6037463400,"Pasadena, CA",40228
6037311600,"Burbank, CA",40202
6037199800,"Northeast Los Angeles, Los Angeles, CA",40172
6037463602,"Pasadena, CA",40170
6037264102,"Brentwood, Los Angeles, CA",40104
6037502401,"El Rancho, Pico Rivera, CA",40099
6037482701,"South Montebello, Monterey Park, CA",40080
6037480804,"Alhambra, CA",40054
6037197200,"Echo Park, Los Angeles, CA",40052
6037278001,"Westchester, Los Angeles, CA",39925
6037273800,"Venice, Los Angeles, CA",39888
6037480802,"Alhambra, CA",39784
6037462800,"Lamanda Park, Pasadena, CA",39756
6037602301,"Hawthorne, CA",39744
6037480803,"Alhambra, CA",39732
6037462900,"Pasadena, CA",39723
6037533203,"Huntington Park, CA",39711
6037535606,"South Gate, CA",39625
6037214503,"Central LA, Los Angeles, CA",39592
6037199120,"Montecito Heights, Los Angeles, CA",39586
6037551401,"Downey, CA",39561
6037302003,"Citrus Grove, Glendale, CA",39552
6037191302,"Central LA, Los Angeles, CA",39499
6037271801,"Palms, Los Angeles, CA",39459
6037301802,"Vineyard, Glendale, CA",39377
6037702202,"Sunset Park, Santa Monica, CA",39293
6037211420,"Central LA, Los Angeles, CA",39286
6037502602,"El Rancho, Pico Rivera, CA",39258
6037462600,"Pasadena, CA",39158
6037275400,"Los Angeles, CA",39111
6037534501,"Huntington Park, CA",39088
6037701502,"Downtown, Santa Monica, CA",39022
6037183401,"Northeast Los Angeles, Los Angeles, CA",38951
6037502601,"El Rancho, Pico Rivera, CA",38943
6037275602,"Westchester, Los Angeles, CA",38939
6037273100,"Venice, Los Angeles, CA",38918
6037702502,"Culver City, CA",38904
6037269800,"Castle Heights, Los Angeles, CA",38893
6037702901,"Marina del Rey, CA",38884
6037481902,"Alhambra, CA",38882
6037302102,"Somerset, Glendale, CA",38830
6037216100,"Central LA, Los Angeles, CA",38815
6037186404,"Glassell Park, Los Angeles, CA",38802
6037192510,"Central LA, Los Angeles, CA",38798
6037216401,"Central LA, Los Angeles, CA",38703
6037553200,"Bellflower, CA",38676
6037500900,"El Rancho, Pico Rivera, CA",38665
6037532001,"South Montebello, Montebello, CA",38663
6037551700,"Downey, CA",38662
6037552001,"Norwalk, CA",38659
6037275101,"Culver City, CA",38657
6037462202,"Pasadena, CA",38614
6037480902,"Alhambra, CA",38597
6037482303,"Garvey, Rosemead, CA",38590
6037702801,"Clarkdale, Culver City, CA",38568
6037185100,"Mount Washington, Los Angeles, CA",38541
6037189500,"Central LA, Los Angeles, CA",38532
6037550902,"Downey, CA",38508
6037482521,"South Montebello, Rosemead, CA",38479
6037201503,"Northeast Los Angeles, Los Angeles, CA",38465
6037552002,"Norwalk, CA",38456
6037553100,"Bellflower, CA",38453
6037195400,"Silver Lake, Los Angeles, CA",38430
6037143100,"Toluca Lake, Los Angeles, CA",38428
6037213100,"Central LA, Los Angeles, CA",38415
6037189600,"Central LA, Los Angeles, CA",38412
6037302104,"Citrus Grove, Glendale, CA",38406
6037186203,"Northeast Los Angeles, Los Angeles, CA",38398
6037311801,"Burbank, CA",38382
6037271901,"Mar Vista, Los Angeles, CA",38380
6037500800,"El Rancho, Pico Rivera, CA",38360
6037480901,"Alhambra, CA",38339
6037530203,"South Montebello, Montebello, CA",38281
6037482301,"Garvey, San Gabriel, CA",38262
6037187102,"Atwater Village, Los Angeles, CA",38252
6037530004,"South Montebello, Montebello, CA",38238
6037551202,"Downey, CA",38237
6037212702,"Central LA, Los Angeles, CA",38224
6037551501,"Downey, CA",38194
6037199300,"Montecito Heights, Los Angeles, CA",38139
6037212306,"Central LA, Los Angeles, CA",38092
6037502500,"El Rancho, Pico Rivera, CA",38090
6037224410,"South Los Angeles, Los Angeles, CA",38072
6037195803,"Silver Lake, Los Angeles, CA",38070
6037554001,"Bellflower, CA",38025
6037302201,"Citrus Grove, Glendale, CA",38023
6037269903,"Palms, Los Angeles, CA",37995
6037302302,"Pacific - Edison, Glendale, CA",37955
6037553000,"Norwalk, CA",37949
6037552800,"Norwalk, CA",37923
6037216800,"Central LA, Los Angeles, CA",37911
6037195600,"Los Angeles, CA",37905
6037143200,"West Toluca Lake, Los Angeles, CA",37813
6037195202,"Central LA, Los Angeles, CA",37770
6037195201,"Central LA, Los Angeles, CA",37664
6037481002,"Alhambra, CA",37603
6037700501,"Central LA, West Hollywood, CA",37600
6037267600,"Sawtelle, Los Angeles, CA",37587
6037185320,"Northeast Los Angeles, Los Angeles, CA",37548
6037214400,"Central LA, Los Angeles, CA",37491
6037530102,"South Montebello, Montebello, CA",37448
6037125402,"North Hollywood, Los Angeles, CA",37444
6037551101,"Downey, CA",37417
6037269700,"Beverlywood, Los Angeles, CA",37387
6037500700,"El Rancho, Pico Rivera, CA",37381
6037201402,"Northeast Los Angeles, Los Angeles, CA",37375
6037703002,"Los Angeles, CA",37364
6037191820,"Central LA, Los Angeles, CA",37340
6037271701,"Palms, Los Angeles, CA",37298
6037536102,"South Gate, CA",37258
6037530101,"South Montebello, Montebello, CA",37240
6037301702,"Vineyard, Glendale, CA",37227
6037700101,"Central LA, West Hollywood, CA",37212
6037186201,"Northeast Los Angeles, Los Angeles, CA",37160
6037482201,"Monterey Park, CA",37155
6037462400,"Bungalow Heaven, Pasadena, CA",37149
6037302202,"Mariposa, Glendale, CA",37149
6037550202,"Norwalk, CA",37125
6037143604,"Studio City, Los Angeles, CA",37098
6037267700,"Sawtelle, Los Angeles, CA",37097
6037195903,"Silver Lake, Los Angeles, CA",37096
6037211120,"Central LA, Los Angeles, CA",37091
6037201601,"Northeast Los Angeles, Los Angeles, CA",37079
6037550300,"Norwalk, CA",37079
6037482401,"Garvey, Rosemead, CA",37049
6037531102,"Los Angeles, CA",37035
6037195902,"Silver Lake, Los Angeles, CA",37033
6037181500,"Northeast Los Angeles, Los Angeles, CA",37030
6037197410,"Echo Park, Los Angeles, CA",37013
6037189102,"Central LA, Los Angeles, CA",36947
6037211803,"Central LA, Los Angeles, CA",36928
6037201200,"Northeast Los Angeles, Los Angeles, CA",36915
6037530204,"South Montebello, Montebello, CA",36902
6037550500,"Downey, CA",36894
6037700502,"Central LA, West Hollywood, CA",36843
6037186301,"Atwater Village, Los Angeles, CA",36798
6037183222,"Northeast Los Angeles, Los Angeles, CA",36783
6037199201,"Montecito Heights, Los Angeles, CA",36759
6037533503,"Huntington Park, CA",36751
6037530202,"South Montebello, Montebello, CA",36748
6037183520,"Northeast Los Angeles, Los Angeles, CA",36723
6037212420,"Central LA, Los Angeles, CA",36714
6037236000,"Baldwin Hills, Los Angeles, CA",36710
6037502301,"Whittier, CA",36670
6037270200,"Palms, Los Angeles, CA",36613
6037188100,"Atwater Village, Los Angeles, CA",36609
6037183810,"Northeast Los Angeles, Los Angeles, CA",36604
6037482304,"Garvey, Rosemead, CA",36573
6037267403,"West Los Angeles, Los Angeles, CA",36573
6037194401,"Beverly Grove, Los Angeles, CA",36562
6037269907,"Palms, Los Angeles, CA",36555
6037601202,"Inglewood, CA",36537
6037199000,"Northeast Los Angeles, Los Angeles, CA",36524
6037186302,"Glassell Park, Los Angeles, CA",36465
6037481202,"San Gabriel, CA",36424
6037219500,"South Los Angeles, Los Angeles, CA",36383
6037211703,"Central LA, Los Angeles, CA",36378
6037201700,"Northeast Los Angeles, Los Angeles, CA",36334
6037183402,"Northeast Los Angeles, Los Angeles, CA",36286
6037535604,"South Gate, CA",36254
6037185203,"Northeast Los Angeles, Los Angeles, CA",36249
6037183220,"Northeast Los Angeles, Los Angeles, CA",36204
6037702400,"Lucerne - Higuera, Culver City, CA",36196
6037275603,"Culver City, CA",36190
6037482522,"South Montebello, Montebello, CA",36126
6037482503,"Garvey, Rosemead, CA",36121
6037212800,"Central LA, Los Angeles, CA",36119
6037530602,"Los Angeles, CA",36115
6037533502,"Huntington Park, CA",36088
6037552100,"Norwalk, CA",36087
6037208501,"Central LA, Los Angeles, CA",36082
6037536103,"South Gate, CA",36079
6037211802,"Central LA, Los Angeles, CA",36061
6037535605,"South Gate, CA",36041
6037212410,"Central LA, Los Angeles, CA",36030
6037462700,"Mid Central, Pasadena, CA",36023
6037601600,"Inglewood, CA",36011
6037551900,"Norwalk, CA",35996
6037301602,"Riverside Rancho, Glendale, CA",35985
6037535901,"South Gate, CA",35943
6037212620,"Central LA, Los Angeles, CA",35917
6037195500,"Silver Lake, Los Angeles, CA",35915
6037272301,"Mar Vista, Los Angeles, CA",35831
6037199400,"Mount Washington, Los Angeles, CA",35814
6037534700,"Huntington Park, CA",35813
6037536200,"South Gate, CA",35748
6037553701,"Paramount, CA",35742
6037183101,"Eagle Rock, Los Angeles, CA",35727
6037530301,"East Los Angeles, CA",35725
6037463601,"Pasadena, CA",35707
6037534802,"Huntington Park, CA",35669
6037481101,"San Gabriel, CA",35639
6037273600,"Venice, Los Angeles, CA",35616
6037211410,"Central LA, Los Angeles, CA",35608
6037535503,"South Gate, CA",35596
6037534203,"South Montebello, Bell Gardens, CA",35594
6037213401,"Central LA, Los Angeles, CA",35581
6037203300,"Northeast Los Angeles, Los Angeles, CA",35567
6037533902,"South Montebello, Bell Gardens, CA",35511
6037534502,"Huntington Park, CA",35491
6037191710,"Central LA, Los Angeles, CA",35482
6037533601,"Bell, CA",35477
6037701702,"Downtown, Santa Monica, CA",35456
6037206050,"Central LA, Los Angeles, CA",35437
6037189904,"Central LA, Los Angeles, CA",35425
6037532500,"Huntington Park, CA",35423
6037183221,"Northeast Los Angeles, Los Angeles, CA",35411
6037203500,"Boyle Heights, Los Angeles, CA",35407
6037302503,"Mariposa, Glendale, CA",35333
6037535701,"South Gate, CA",35317
6037189201,"Central LA, Los Angeles, CA",35301
6037301801,"Vineyard, Glendale, CA",35284
6037531504,"East Los Angeles, CA",35256
6037183701,"Highland Park, Los Angeles, CA",35237
6037191201,"Central LA, Los Angeles, CA",35224
6037189101,"Central LA, Los Angeles, CA",35215
6037601301,"Inglewood, CA",35197
6037190202,"Central LA, Los Angeles, CA",35179
6037531800,"South Montebello, East Los Angeles, CA",35176
6037533803,"Bell, CA",35128
6037602106,"Hawthorne, CA",35119
6037204410,"Central LA, Los Angeles, CA",35107
6037602200,"Los Angeles, CA",35083
6037603801,"Lawndale, CA",35017
6037208801,"Central LA, Los Angeles, CA",34928
6037201120,"Northeast Los Angeles, Los Angeles, CA",34881
6037186403,"Atwater Village, Los Angeles, CA",34876
6037191720,"Central LA, Los Angeles, CA",34873
6037208401,"Central LA, Los Angeles, CA",34861
6037603900,"Lawndale, CA",34836
6037195300,"Central LA, Los Angeles, CA",34785
6037532400,"Vernon, CA",34763
6037197420,"Echo Park, Los Angeles, CA",34754
6037190301,"Central LA, Los Angeles, CA",34746
6037701701,"Mid-City, Santa Monica, CA",34745
6037302504,"Mariposa, Glendale, CA",34733
6037224420,"South Los Angeles, Los Angeles, CA",34680
6037291120,"Harbor, Gardena, CA",34610
6037191203,"Central LA, Los Angeles, CA",34602
6037224200,"Central LA, Los Angeles, CA",34597
6037190802,"Central LA, Los Angeles, CA",34593
6037535502,"South Gate, CA",34591
6037191901,"Central LA, Los Angeles, CA",34590
6037183620,"Northeast Los Angeles, Los Angeles, CA",34566
6037183103,"Highland Park, Los Angeles, CA",34539
6037273700,"Venice, Los Angeles, CA",34506
6037602402,"Hawthorne, CA",34502
6037542104,"East Compton, CA",34476
6037532303,"South Montebello, Commerce, CA",34462
6037602002,"Hawthorne, CA",34442
6037267501,"West Los Angeles, Los Angeles, CA",34431
6037534804,"Huntington Park, CA",34419
6037208402,"Central LA, Los Angeles, CA",34379
6037540300,"Lynwood, CA",34345
6037291130,"Harbor, Gardena, CA",34331
6037212701,"Central LA, Los Angeles, CA",34292
6037601402,"Inglewood, CA",34282
6037208502,"Central LA, Los Angeles, CA",34282
6037195710,"Los Angeles, CA",34281
6037208610,"Central LA, Los Angeles, CA",34262
6037540202,"Lynwood, CA",34240
6037534406,"Cudahy, CA",34224
6037533107,"Huntington Park, CA",34221
6037535702,"South Gate, CA",34216
6037211804,"Central LA, Los Angeles, CA",34216
6037461902,"Pasadena, CA",34216
6037185202,"Mount Washington, Los Angeles, CA",34131
6037553504,"Paramount, CA",34124
6037534301,"Cudahy, CA",34057
6037481102,"San Gabriel, CA",34013
6037531502,"East Los Angeles, CA",34003
6037532102,"South Montebello, Montebello, CA",34002
6037530601,"Los Angeles, CA",33998
6037602103,"Hawthorne, CA",33991
6037209403,"Central LA, Los Angeles, CA",33960
6037301601,"Grandview, Glendale, CA",33948
6037192520,"Central LA, Los Angeles, CA",33940
